iter	MAPE
0	0.2148398343
1	0.2146977406
2	0.2145263079
3	0.2142047918
4	0.2139356819
5	0.2136990583
6	0.2135135789
7	0.2132855804
8	0.2130674257
9	0.2127654484
10	0.2124376065
11	0.2121391408
12	0.2118711273
13	0.2115944507
14	0.2113459919
15	0.2110625103
16	0.2108028695
17	0.2106019882
18	0.2103790694
19	0.2101459558
20	0.2099072278
21	0.2096667091
22	0.2094894662
23	0.2092783434
24	0.2090936993
25	0.208904502
26	0.2087264441
27	0.2085421606
28	0.2083699557
29	0.2082088484
30	0.2080647604
31	0.2079232
32	0.2077801448
33	0.2076241048
34	0.2074777331
35	0.2073461491
36	0.2072377685
37	0.2071238135
38	0.2069884926
39	0.2068706743
40	0.2067429432
41	0.2066382861
42	0.2065176121
43	0.2064053238
44	0.2063068413
45	0.2061720595
46	0.2060749568
47	0.205979527
48	0.2058595276
49	0.2057572101
50	0.2056511035
51	0.2055505248
52	0.205461496
53	0.2053860974
54	0.2052806618
55	0.205181329
56	0.2050967224
57	0.2050087914
58	0.2049359778
59	0.2048503976
60	0.2047766996
61	0.2047037218
62	0.2045997444
63	0.2045081968
64	0.2044422998
65	0.204361183
66	0.2042798171
67	0.204213812
68	0.2041369706
69	0.2040779125
70	0.2040165537
71	0.2039442957
72	0.2038167268
73	0.203758547
74	0.2036908503
75	0.2036341892
76	0.2035397656
77	0.2034634214
78	0.2033838855
79	0.2033172359
80	0.2032492612
81	0.2031952977
82	0.2031206777
83	0.2030602304
84	0.2029803591
85	0.2029273892
86	0.2028771118
87	0.2028245965
88	0.202780722
89	0.2027298265
90	0.2026743375
91	0.2026111143
92	0.2025238264
93	0.2024708076
94	0.2024155209
95	0.2023534988
96	0.2022936738
97	0.2022273778
98	0.2021767824
99	0.20210355
100	0.2020515547
101	0.2019868081
102	0.2019334466
103	0.2017880824
104	0.201740947
105	0.2016824189
106	0.2016313009
107	0.2015558794
108	0.2015030542
109	0.2014621891
110	0.201392234
111	0.201321151
112	0.2012594476
113	0.2012133753
114	0.2011630803
115	0.2010866715
116	0.2010471717
117	0.2010081641
118	0.2009128267
119	0.2008674334
120	0.2008268154
121	0.2007812196
122	0.2006875568
123	0.2006421058
124	0.200591091
125	0.2005439325
126	0.2004966796
127	0.2004492768
128	0.2004071054
129	0.2003691364
130	0.2003079996
131	0.2002577623
132	0.2002025772
133	0.2001614585
134	0.2001206957
135	0.2000827131
136	0.2000376451
137	0.1999928234
138	0.1999554546
139	0.1999161343
140	0.1998722503
141	0.1997641014
142	0.1997205782
143	0.1996714545
144	0.1996200283
145	0.1995654604
146	0.1995093062
147	0.1994581789
148	0.1994003132
149	0.1993324812
150	0.1992862285
151	0.1992398151
