iter	Passed	Remaining
0	6	6418
1	11	5756
2	16	5520
3	21	5369
4	26	5272
5	31	5194
6	36	5150
7	41	5141
8	46	5113
9	51	5099
10	56	5092
11	61	5060
12	66	5044
13	71	5059
14	81	5369
15	86	5341
16	91	5303
17	96	5270
18	101	5237
19	106	5212
20	111	5178
21	115	5151
22	120	5125
23	125	5102
24	131	5147
25	136	5126
26	141	5112
27	146	5087
28	151	5068
29	156	5052
30	161	5038
31	166	5021
32	172	5064
33	177	5048
34	182	5040
35	187	5029
36	192	5011
37	197	4996
38	202	4980
39	207	4971
40	212	4959
41	216	4945
42	221	4933
43	226	4920
44	231	4907
45	236	4897
46	240	4883
47	245	4870
48	250	4867
49	255	4857
50	260	4846
51	265	4832
52	270	4824
53	275	4819
54	279	4809
55	284	4803
56	289	4794
57	294	4787
58	299	4781
59	304	4767
60	308	4756
61	314	4752
62	319	4745
63	323	4736
64	328	4726
65	333	4718
66	339	4729
67	344	4721
68	349	4713
69	354	4707
70	358	4697
71	363	4690
72	373	4738
73	378	4730
74	382	4719
75	387	4709
76	391	4698
77	396	4688
78	401	4679
79	406	4672
80	411	4664
81	415	4655
82	420	4647
83	425	4640
84	430	4633
85	435	4625
86	439	4616
87	444	4609
88	449	4601
89	454	4593
90	458	4584
91	464	4585
92	474	4631
93	480	4630
94	485	4622
95	490	4614
96	495	4617
97	501	4615
98	506	4606
99	510	4597
100	515	4591
101	520	4584
102	525	4577
103	530	4571
104	535	4565
105	540	4558
106	545	4550
107	550	4543
108	554	4535
109	559	4528
110	565	4527
111	571	4529
112	576	4523
113	581	4516
114	586	4512
115	591	4505
116	595	4497
117	600	4491
118	605	4484
119	610	4478
120	615	4471
121	620	4464
122	625	4457
123	629	4450
124	634	4443
125	639	4436
126	644	4430
127	649	4423
128	654	4415
129	658	4408
130	667	4426
131	672	4419
132	681	4441
133	686	4435
134	691	4428
135	695	4421
136	700	4413
137	705	4404
138	709	4396
139	714	4388
140	718	4380
141	723	4373
142	728	4366
143	733	4359
144	738	4353
145	743	4347
146	748	4341
147	753	4334
148	757	4328
149	763	4323
150	767	4317
151	772	4310
152	777	4304
153	782	4296
154	786	4289
155	791	4283
156	796	4276
157	801	4269
158	806	4263
159	810	4256
160	815	4250
161	820	4242
162	824	4236
163	829	4229
164	834	4222
165	839	4216
166	844	4210
167	850	4214
168	855	4207
169	861	4204
170	867	4204
171	872	4198
172	877	4192
173	882	4187
174	887	4182
175	892	4176
176	896	4170
177	901	4163
178	906	4157
179	911	4151
180	916	4145
181	920	4138
182	925	4132
183	930	4126
184	935	4120
185	940	4114
186	944	4108
187	949	4101
188	954	4096
189	959	4091
190	964	4085
191	970	4084
192	975	4080
193	980	4073
194	985	4066
195	989	4059
196	994	4053
197	999	4047
198	1004	4041
199	1008	4035
200	1013	4030
201	1018	4023
202	1023	4017
203	1027	4010
204	1032	4004
205	1037	3998
206	1041	3991
207	1046	3985
208	1051	3978
209	1056	3973
210	1064	3979
211	1069	3974
212	1074	3968
213	1078	3962
214	1083	3957
215	1088	3950
216	1092	3943
217	1097	3938
218	1102	3932
219	1107	3926
220	1112	3920
221	1116	3914
222	1121	3908
223	1126	3903
224	1133	3905
225	1140	3907
226	1145	3901
227	1150	3895
228	1155	3891
229	1162	3890
230	1166	3883
231	1171	3878
232	1176	3872
233	1181	3867
234	1186	3861
235	1191	3856
236	1195	3850
237	1200	3844
238	1205	3838
239	1210	3832
240	1214	3826
241	1219	3820
242	1224	3814
243	1229	3808
244	1234	3802
245	1240	3801
246	1245	3795
247	1250	3790
248	1255	3787
249	1264	3794
250	1269	3788
251	1274	3782
252	1279	3777
253	1284	3771
254	1288	3765
255	1293	3759
256	1298	3753
257	1303	3747
258	1308	3742
259	1312	3736
260	1317	3731
261	1322	3725
262	1327	3720
263	1332	3715
264	1337	3709
265	1342	3703
266	1346	3697
267	1351	3692
268	1358	3692
269	1363	3686
270	1368	3680
271	1372	3674
272	1377	3667
273	1382	3662
274	1387	3656
275	1391	3650
276	1396	3644
277	1401	3639
278	1405	3632
279	1410	3627
280	1415	3621
281	1420	3616
282	1424	3610
283	1429	3604
284	1434	3598
285	1439	3592
286	1443	3586
287	1448	3580
288	1457	3586
289	1463	3581
290	1467	3576
291	1472	3570
292	1477	3565
293	1482	3559
294	1487	3553
295	1491	3548
296	1496	3542
297	1501	3537
298	1506	3531
299	1510	3525
300	1515	3519
301	1520	3514
302	1525	3508
303	1529	3502
304	1534	3496
305	1539	3491
306	1543	3485
307	1548	3479
308	1557	3483
309	1562	3477
310	1567	3471
311	1571	3466
312	1576	3460
313	1581	3455
314	1586	3450
315	1592	3446
316	1598	3443
317	1602	3437
318	1608	3433
319	1613	3428
320	1618	3423
321	1623	3417
322	1628	3412
323	1632	3406
324	1637	3401
325	1642	3395
326	1646	3389
327	1654	3388
328	1658	3383
329	1664	3379
330	1670	3376
331	1675	3370
332	1679	3364
333	1684	3359
334	1689	3353
335	1694	3348
336	1698	3342
337	1703	3336
338	1708	3330
339	1713	3325
340	1717	3319
341	1722	3314
342	1727	3309
343	1732	3304
344	1737	3298
345	1742	3293
346	1747	3288
347	1752	3283
348	1757	3278
349	1762	3273
